isogroup48427	A1L3F4	GO:0005634; GO:0000932; GO:0046872; GO:0003723
isogroup41253	A1L3X0	GO:0005783; GO:0005789; GO:0030176; GO:0102336; GO:0102337; GO:0102338; GO:0009922; GO:0102756; GO:0034625; GO:0034626; GO:0019367; GO:0035338; GO:0030148; GO:0006636; GO:0042761
isogroup68308	A1L3X0	GO:0005783; GO:0005789; GO:0030176; GO:0102336; GO:0102337; GO:0102338; GO:0009922; GO:0102756; GO:0034625; GO:0034626; GO:0019367; GO:0035338; GO:0030148; GO:0006636; GO:0042761
isogroup19152	A1L4W5	GO:0005829; GO:0005634; GO:0071472; GO:0016567; GO:0006970
isogroup29122	A1L4X0	GO:0009507; GO:0031969; GO:0016021; GO:0009536; GO:0002229; GO:0034635; GO:0046686
isogroup35984	A1L4X0	GO:0009507; GO:0031969; GO:0016021; GO:0009536; GO:0002229; GO:0034635; GO:0046686
isogroup39432	A1L4X0	GO:0009507; GO:0031969; GO:0016021; GO:0009536; GO:0002229; GO:0034635; GO:0046686
isogroup71756	A1L504	GO:0005789; GO:0016021; GO:0051604
isogroup80693	A1RIZ0	GO:0005737; GO:0003723; GO:0016434
isogroup43632	A1RWU6	GO:0005524; GO:0003689; GO:0006260
isogroup77974	A1RY08	GO:0005737; GO:0005524; GO:0000049; GO:0051392; GO:0051391; GO:0002101
isogroup30055	A1S1Z8	GO:0030697
isogroup34647	A1SPV1	GO:0003998
isogroup16924	A1SU11	GO:0005737; GO:0071424; GO:0070475
isogroup38844	A1SX95	GO:0005524; GO:0004417; GO:0000287; GO:0009228; GO:0009229
isogroup44465	A1TLH8	GO:0005737; GO:0005524; GO:0031072; GO:0051082; GO:0008270; GO:0006260; GO:0006457; GO:0009408
isogroup55612	A1TLH8	GO:0005737; GO:0005524; GO:0031072; GO:0051082; GO:0008270; GO:0006260; GO:0006457; GO:0009408
isogroup60242	A1TLH8	GO:0005737; GO:0005524; GO:0031072; GO:0051082; GO:0008270; GO:0006260; GO:0006457; GO:0009408
isogroup73847	A1TM24	GO:0005737; GO:0051539; GO:0046872; GO:0070040; GO:0019843; GO:0002935; GO:0000049; GO:0070475
isogroup42859	A1TWN0	GO:0004479
isogroup1527	A1TYJ6	GO:0005840; GO:0003735; GO:0000049; GO:0006412
isogroup54545	A1U1Q2	GO:0005524; GO:0046983; GO:0051082; GO:0008270; GO:0006457
isogroup73472	A1U3F2	GO:0046872; GO:0008759; GO:0103117; GO:0009245
isogroup7043	A1UUG9	GO:0016021; GO:0005886; GO:0004190
isogroup8411	A1V9Q3	GO:0005737; GO:0005524; GO:0031072; GO:0051082; GO:0008270; GO:0006260; GO:0006457; GO:0009408
isogroup19957	A1VC40	GO:0005737; GO:0008650
isogroup27349	A1VYV7	GO:0004332; GO:0008270; GO:0006096
isogroup30427	A1VYV7	GO:0004332; GO:0008270; GO:0006096
isogroup78038	A1VYV7	GO:0004332; GO:0008270; GO:0006096
isogroup21861	A1WIC3	GO:0016765; GO:0043828; GO:0070329; GO:0002098
isogroup45366	A1XQS5	GO:0016021; GO:0005753; GO:0000276; GO:0045263; GO:0008289; GO:0046933; GO:0015986
isogroup18647	A1Z623	GO:0005788
isogroup53677	A1Z623	GO:0005788
