comp2024_c0_seq1	isogroup2024
comp2029_c0_seq1	isogroup2029
comp2030_c0_seq1	isogroup2030
comp2032_c0_seq1	isogroup2032
comp2035_c0_seq2	isogroup2035
comp2038_c0_seq1	isogroup2038
comp2044_c0_seq1	isogroup2044
comp2045_c0_seq1	isogroup2045
comp2047_c0_seq1	isogroup2047
comp2058_c0_seq1	isogroup2058
comp2062_c0_seq1	isogroup2062
comp2064_c0_seq1	isogroup2064
comp2070_c0_seq1	isogroup2070
comp2073_c0_seq1	isogroup2073
comp2079_c0_seq1	isogroup2079
comp2088_c0_seq1	isogroup2088
comp2090_c0_seq1	isogroup2090
comp2091_c0_seq1	isogroup2091
comp2095_c0_seq1	isogroup2095
comp2106_c0_seq1	isogroup2106
comp2113_c0_seq2	isogroup2113
comp2115_c0_seq1	isogroup2115
comp2117_c0_seq1	isogroup2117
comp2120_c0_seq1	isogroup2120
comp2121_c0_seq1	isogroup2121
comp2126_c0_seq1	isogroup2126
comp2127_c0_seq2	isogroup2127
comp2132_c0_seq1	isogroup2132
comp2134_c0_seq1	isogroup2134
comp2138_c0_seq1	isogroup2138
comp2148_c0_seq1	isogroup2148
comp2150_c0_seq2	isogroup2150
comp2154_c0_seq1	isogroup2154
comp2161_c0_seq2	isogroup2161
comp2163_c0_seq1	isogroup2163
comp2164_c0_seq1	isogroup2164
comp2168_c0_seq1	isogroup2168
comp2176_c0_seq1	isogroup2176
